gene,chr,start,end,strand,length,control1,control2,control3,control4,control5,control6,exposed1,exposed2,exposed3,exposed4,exposed5,exposed6,control_mean,exposed_mean
Olfr1507,14,"52,486,908","52,495,754",-,"4,710","14,648.78","15,628.35","12,195.83","12,116.48","14,722.60","17,133.76","14,854.89","14,737.28","15,306.63","13,406.63","9,449.34","11,113.51","14,407.64","13,144.71"
Olfr536,7,"140,500,849","140,507,396",-,"4,289","7,136.47","7,329.89","6,671.31","5,848.95","7,218.69","5,705.00","6,416.09","6,959.06","7,226.46","5,935.22","5,210.88","6,076.55","6,651.72","6,304.04"
Olfr533,7,"140,463,370","140,468,126",+,"2,886","5,560.41","6,312.73","6,486.76","5,166.32","4,828.43","5,289.73","4,591.67","3,827.61","4,409.57","3,577.36","3,937.07","3,872.57","5,607.40","4,035.98"
Olfr727,14,"50,123,107","50,131,883",+,"2,918","5,252.99","4,991.18","4,103.90","4,219.65","5,336.73","5,382.01","4,360.54","6,179.19","5,334.81","4,871.70","3,689.41","4,756.92","4,881.08","4,865.43"
Olfr166,16,"19,483,694","19,490,302",+,"4,801","3,928.91","3,988.51","3,806.05","3,212.29","3,338.73","3,169.62","4,247.50","3,866.05","3,876.43","3,477.31","3,967.12","3,709.34","3,574.02","3,857.29"
Olfr1228,2,"89,247,964","89,254,062",-,"3,260","3,201.50","2,852.84","2,685.86","1,955.28","2,361.81","2,934.22","2,853.14","3,041.76","2,944.44","2,326.35","2,008.60","2,610.97","2,665.25","2,630.88"
Olfr309,7,"86,304,474","86,313,708",-,"4,382","2,041.96","2,356.62","2,181.14","2,219.95","2,098.31","2,056.77","2,230.47","1,773.29","2,088.03","1,817.43","2,229.85","1,897.11","2,159.12","2,006.03"
Olfr1226,2,"89,188,839","89,200,055",-,"8,087","2,138.95","2,518.61","1,963.11","1,756.31","1,770.43","1,994.99","2,067.55","1,891.17","1,803.24","1,645.70","1,559.71","1,622.88","2,023.73","1,765.04"
Olfr124,17,"37,799,886","37,808,617",+,"6,214","2,158.87","2,031.77","1,716.76","1,654.95","2,134.99","1,790.88","1,376.05","1,429.05","1,455.01","1,251.01",949.67,"1,105.62","1,914.70","1,261.07"
Olfr728,14,"50,133,758","50,142,680",-,"7,087","1,883.49","2,738.59","1,961.39","1,572.98","1,696.31","1,590.67","2,354.88","1,616.98","2,045.52","1,477.90","1,655.32","1,630.86","1,907.24","1,796.91"
Olfr15,16,"3,830,878","3,844,747",+,"12,865","2,154.54","2,024.95","1,882.42","1,713.76","1,685.83","1,656.37","1,850.31","1,698.12","1,832.94","1,630.73","1,563.36","1,738.96","1,852.98","1,719.07"
Olfr741,14,"50,472,738","50,488,338",+,"3,406","1,841.92","2,089.75","1,566.54","1,427.20","1,825.07","1,675.92","1,628.65","1,849.31","1,556.24","1,681.93","1,713.59","1,811.50","1,737.73","1,706.87"
Olfr1264,2,"90,019,102","90,025,490",-,"3,648","1,298.96","1,847.61","1,493.58","1,411.56","1,876.73","1,830.76","2,148.38","2,256.76","2,366.75","1,688.24","1,483.23","1,720.82","1,626.53","1,944.03"
Olfr1384,11,"49,506,724","49,517,345",+,"4,437","1,555.29","1,457.96","1,757.10","1,600.51","1,230.69","1,573.47","1,259.85",849.06,"1,025.12","1,076.91","1,262.89",938.04,"1,529.17","1,068.64"
